rotten_tomatoes_link,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year,release_month,streaming_month
m/10006188-rise,Rotten,36.0,14.0,Spilled,20.0,8239.0,2,5,9,2007,2016,6,11
m/1000626-all_about_eve,Fresh,99.0,77.0,Upright,94.0,45248.0,22,76,1,1950,2015,1,11
m/10006270,Rotten,42.0,38.0,Upright,68.0,1121.0,19,16,22,2006,2017,4,5
m/10006324,Rotten,30.0,27.0,Spilled,58.0,2394.0,13,8,19,2006,2017,6,2
m/10006343-dirty,Rotten,21.0,28.0,Spilled,42.0,7326.0,10,6,22,2006,2012,2,4
m/10006370-stay_alive,Rotten,10.0,59.0,Spilled,55.0,113424.0,18,6,53,2006,2016,3,8
m/1000640-all_of_me,Fresh,85.0,41.0,Upright,67.0,14346.0,10,35,6,1984,2016,9,10
m/10006434-dreamland,Fresh,67.0,15.0,Upright,65.0,5650.0,5,10,5,2006,2012,12,4
m/1000654-all_the_kings_men,Fresh,95.0,42.0,Upright,78.0,4866.0,9,40,2,1949,2013,11,5
m/10006588-street_fight,Fresh,100.0,22.0,Upright,93.0,2989.0,11,22,0,2005,2016,1,12
m/10006780-lost_horizon,Rotten,20.0,5.0,Spilled,45.0,455.0,2,1,4,1973,2015,3,12
m/10006848-the_motel,Fresh,88.0,32.0,Upright,64.0,4038.0,14,28,4,2005,2017,6,3
m/10006849-once_in_a_lifetime,Fresh,81.0,59.0,Upright,80.0,1416.0,22,48,11,2006,2016,5,11
m/10006856-requiem,Fresh,86.0,36.0,Upright,66.0,4728.0,17,31,5,2006,2017,10,3
m/10007139-park,Rotten,36.0,11.0,Spilled,48.0,684.0,6,4,7,2006,2017,6,11
m/10007333-bon_cop_bad_cop,Fresh,78.0,9.0,Upright,82.0,20404.0,2,7,2,2006,2017,7,5
m/10007415-amazing_grace,Fresh,67.0,126.0,Upright,85.0,54320.0,37,85,41,2007,2015,2,11
m/10007614-gone,Rotten,54.0,13.0,Spilled,20.0,3329.0,4,7,6,2007,2014,3,2
m/10007714-situation,Rotten,35.0,48.0,Spilled,58.0,2381.0,25,17,31,2006,2007,10,7
m/10007856-four_sheets_to_the_wind,Fresh,100.0,7.0,Upright,61.0,519.0,2,7,0,2007,2016,1,7
m/10007886-the_tigers_tail,Rotten,14.0,21.0,Spilled,30.0,660.0,5,3,18,2006,2016,9,7
m/10007893-its_a_boy_girl_thing,Fresh,67.0,9.0,Upright,61.0,30371.0,0,6,3,2006,2016,12,11
m/10007898-slipstream,Rotten,25.0,40.0,Spilled,29.0,3523.0,14,10,30,2007,2012,10,4
m/10007902-delirious,Fresh,83.0,63.0,Spilled,57.0,8464.0,25,52,11,2007,2020,8,10
m/10007916_interview,Rotten,58.0,125.0,Spilled,55.0,25860.0,44,72,53,2007,2012,7,4
m/1000792-american_anthem,Rotten,0.0,16.0,Upright,65.0,1341.0,6,0,16,1986,2013,6,12
m/10007947-ten,Rotten,35.0,82.0,Spilled,40.0,77951.0,28,29,53,2007,2016,1,2
m/10007985-happening,Rotten,17.0,183.0,Spilled,24.0,370222.0,42,32,151,2008,2015,6,11
m/10008005-moliere,Fresh,69.0,89.0,Upright,79.0,10937.0,32,61,28,2007,2014,7,3
m/10008140-borderland,Fresh,100.0,8.0,Spilled,43.0,4194.0,0,8,0,2007,2016,11,8
m/10008200-spiral,Rotten,55.0,11.0,Spilled,59.0,9001.0,1,6,5,2007,2017,1,8
m/10008234-alexandra,Fresh,88.0,59.0,Upright,69.0,1333.0,24,52,7,2007,2015,5,2
m/10008390_blood_and_tears,Rotten,50.0,6.0,Spilled,33.0,1719.0,2,3,3,2007,2007,6,8
m/10008423-cool_school,Fresh,92.0,26.0,Upright,63.0,514.0,12,24,2,2008,2017,3,3
m/10008496-pathology,Rotten,45.0,22.0,Spilled,39.0,49454.0,6,10,12,2008,2017,4,1
m/10008502-christmas_carol,Rotten,52.0,201.0,Spilled,58.0,776189.0,47,105,96,2009,2015,11,11
m/10008507-deep_water,Fresh,96.0,55.0,Upright,87.0,4961.0,22,53,2,2006,2017,9,4
m/10008562-road_to_victory,Fresh,78.0,9.0,Upright,78.0,89.0,0,7,2,2007,2016,3,7
m/10008587-beverly_hills_chihuahua,Rotten,40.0,99.0,Spilled,52.0,186570.0,29,40,59,2008,2015,9,12
m/10008601-fireflies_in_the_garden,Rotten,22.0,54.0,Spilled,45.0,45155.0,23,12,42,2011,2014,10,1
m/10008606-eye,Rotten,21.0,80.0,Spilled,43.0,303458.0,13,17,63,2008,2016,2,11
m/10008607-day_of_the_dead,Rotten,13.0,8.0,Spilled,22.0,11098.0,0,1,7,2008,2016,4,10
m/10008611-my_best_friends_girl,Rotten,14.0,59.0,Spilled,46.0,86594.0,17,8,51,2008,2016,9,9
m/10008613-burrowers,Fresh,75.0,12.0,Spilled,34.0,10869.0,1,9,3,2008,2016,9,11
m/10008617-midnight_meat_train,Fresh,73.0,33.0,Spilled,50.0,143577.0,5,24,9,2008,2016,8,10
m/10008618-return,Rotten,37.0,75.0,Spilled,54.0,11792.0,29,28,47,2008,2016,9,10
