rotten_tomatoes_link,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year,release_month,streaming_month
m/devil_and_miss_jones,Fresh,100.0,8.0,Upright,81.0,587.0,0,8,0,1941,2016,4,12
m/devil_in_a_blue_dress,Fresh,88.0,59.0,Upright,70.0,10489.0,17,52,7,1995,2016,9,8
m/devils_advocate,Fresh,63.0,56.0,Upright,80.0,230534.0,15,35,21,1997,2008,10,8
m/devils_backbone,Fresh,92.0,119.0,Upright,89.0,35114.0,33,110,9,2001,2012,11,10
m/devils_due,Rotten,18.0,56.0,Spilled,21.0,21171.0,14,10,46,2014,2015,1,11
m/devils_gate_2018,Rotten,38.0,16.0,Spilled,24.0,178.0,4,6,10,2018,2018,1,1
m/devils_knot,Rotten,24.0,98.0,Spilled,39.0,7652.0,30,24,75,2014,2017,5,1
m/devils_on_the_doorstep,Fresh,91.0,11.0,Upright,95.0,1620.0,4,10,1,2002,2005,12,8
m/devils_own,Rotten,35.0,40.0,Spilled,41.0,42974.0,10,14,26,1997,2012,3,4
m/devils_rejects,Rotten,54.0,138.0,Upright,78.0,112391.0,32,75,63,2005,2015,7,1
m/dhamma_brothers,Fresh,83.0,23.0,Upright,78.0,340.0,10,19,4,2008,2017,4,3
m/dheepan,Fresh,87.0,125.0,Upright,82.0,4289.0,38,109,16,2016,2016,5,11
m/dhobi_ghat,Fresh,65.0,26.0,Upright,70.0,6247.0,12,17,9,2011,2017,1,12
m/dhoom_2,Fresh,92.0,12.0,Upright,77.0,21014.0,3,11,1,2006,2015,11,6
m/dial_a_prayer,Fresh,71.0,7.0,Spilled,39.0,249.0,1,5,2,2015,2016,4,12
m/dial_m_for_murder,Fresh,89.0,47.0,Upright,92.0,38145.0,11,42,5,1954,2008,5,8
m/diamonds_are_forever,Fresh,64.0,50.0,Spilled,58.0,66768.0,8,32,18,1971,2016,12,10
m/diana_2013,Rotten,8.0,106.0,Spilled,25.0,9227.0,39,8,98,2013,2017,11,3
m/diane_2019,Fresh,93.0,94.0,Upright,70.0,88.0,25,87,7,2019,2019,3,3
m/diane_ii_2018,Fresh,88.0,8.0,Spilled,46.0,118.0,3,7,1,2018,2018,9,9
m/diary-of-the-dead2007,Fresh,62.0,130.0,Spilled,41.0,27233.0,35,80,50,2007,2014,9,7
m/diary_of_a_chambermaid,Fresh,87.0,23.0,Upright,83.0,3908.0,2,20,3,1965,2014,3,1
m/diary_of_a_mad_black_woman,Rotten,16.0,115.0,Upright,87.0,89161.0,32,18,97,2005,2015,2,12
m/diary_of_a_wimpy_kid,Rotten,54.0,106.0,Spilled,49.0,103498.0,35,57,49,2010,2015,3,11
m/diary_of_a_wimpy_kid_2_rodrick_rules,Rotten,47.0,100.0,Upright,61.0,33434.0,33,47,53,2011,2015,3,8
m/diary_of_a_wimpy_kid_dog_days,Rotten,52.0,75.0,Upright,63.0,55509.0,26,39,36,2012,2015,8,11
m/diary_of_a_wimpy_kid_the_long_haul,Rotten,18.0,72.0,Spilled,32.0,5696.0,24,13,59,2017,2017,5,7
m/diary_of_anne_frank,Fresh,79.0,19.0,Upright,77.0,27953.0,3,15,4,1959,2015,3,11
m/diary_of_ellen_rimbauer,Rotten,17.0,6.0,Spilled,50.0,5608.0,3,1,5,2003,2017,5,3
m/dickie_roberts_former_child_star,Rotten,22.0,121.0,Spilled,46.0,65249.0,36,27,94,2003,2013,9,8
m/die_another_day,Rotten,57.0,221.0,Spilled,41.0,430311.0,48,125,96,2002,2016,11,10
m/die_die_my_darling,Rotten,50.0,10.0,Spilled,58.0,1874.0,2,5,5,1965,2012,1,4
m/die_hard,Fresh,94.0,77.0,Upright,94.0,573812.0,17,72,5,1988,2015,7,11
m/die_hard_2_1990,Fresh,69.0,64.0,Upright,70.0,414887.0,17,44,20,1990,2015,7,11
m/die_hard_with_a_vengeance,Rotten,59.0,73.0,Upright,83.0,411641.0,18,43,30,1995,2015,5,11
m/die_monster_die,Fresh,71.0,7.0,Spilled,40.0,1527.0,0,5,2,1965,2017,10,4
m/die_wand,Fresh,78.0,40.0,Upright,71.0,1277.0,16,31,9,2013,2016,5,8
m/dig,Fresh,89.0,75.0,Upright,90.0,7844.0,28,67,8,2004,2017,10,3
m/dig_two_graves_2017,Fresh,71.0,28.0,Spilled,39.0,617.0,10,20,8,2017,2017,3,4
m/diggers,Fresh,70.0,56.0,Spilled,57.0,5778.0,21,39,17,2007,2016,4,8
m/digging_for_fire,Fresh,66.0,67.0,Spilled,41.0,2369.0,24,44,24,2015,2015,8,8
m/digging_to_china,Rotten,43.0,7.0,Upright,73.0,1908.0,1,3,4,1998,2017,9,3
m/diggstown,Fresh,60.0,15.0,Upright,77.0,5420.0,1,9,6,1992,2016,8,11
m/dil_bole_hadippa,Fresh,63.0,8.0,Spilled,56.0,1264.0,2,5,3,2009,2017,9,3
m/dim_sum_a_little_bit_of_heart,Fresh,88.0,8.0,Spilled,52.0,221.0,2,7,1,1985,2006,8,1
m/dim_sum_funeral,Rotten,0.0,5.0,Spilled,36.0,321.0,1,0,5,2008,2017,11,2
m/diminished_capacity,Rotten,35.0,31.0,Spilled,37.0,27665.0,15,11,20,2008,2016,7,11
m/diner,Fresh,93.0,40.0,Upright,78.0,9492.0,10,37,3,1982,2008,4,1
m/dinner_for_schmucks,Rotten,42.0,190.0,Spilled,42.0,119531.0,46,79,111,2010,2014,7,6
m/dinner_game,Fresh,74.0,46.0,Upright,90.0,19754.0,13,34,12,1999,2018,7,9
m/dinner_with_friends,Fresh,90.0,10.0,Spilled,47.0,1027.0,3,9,1,2001,2017,8,12
m/dinosaur_13,Fresh,73.0,49.0,Upright,76.0,1194.0,20,36,13,2014,2015,8,12
m/dinosaurs-alive,Fresh,75.0,8.0,Spilled,36.0,761.0,2,6,2,2007,2016,3,11
m/dinotasia,Rotten,25.0,8.0,Spilled,46.0,906.0,4,2,6,2012,2016,10,12
m/dior_and_i,Fresh,84.0,73.0,Upright,76.0,4782.0,26,61,12,2015,2016,4,3
m/diplomatie,Fresh,94.0,50.0,Upright,81.0,4313.0,20,47,3,2014,2015,10,3
m/dirty_dancing,Fresh,68.0,69.0,Upright,90.0,1055330.0,15,47,22,1987,2015,8,12
m/dirty_dancing_havana_nights,Rotten,23.0,108.0,Upright,73.0,269641.0,37,25,83,2004,2017,2,1
m/dirty_dozen,Fresh,85.0,40.0,Upright,90.0,41384.0,9,34,6,1967,2015,6,5
m/dirty_girl_2011,Rotten,33.0,40.0,Spilled,53.0,8657.0,19,13,27,2011,2017,10,3
m/dirty_grandpa,Rotten,11.0,135.0,Spilled,44.0,30295.0,22,15,121,2016,2016,1,4
m/dirty_harry,Fresh,89.0,46.0,Upright,90.0,76841.0,6,41,5,1971,2008,12,8
m/dirty_love,Rotten,6.0,31.0,Upright,68.0,13719.0,11,2,29,2005,2017,9,5
m/dirty_pretty_things,Fresh,94.0,142.0,Upright,82.0,31417.0,44,134,8,2003,2016,7,10
m/dirty_rotten_scoundrels,Fresh,89.0,37.0,Upright,84.0,48704.0,7,33,4,1988,2015,12,9
m/dirty_shame,Rotten,53.0,117.0,Spilled,51.0,12548.0,34,62,55,2004,2008,9,7
m/dirty_wars_2013,Fresh,85.0,71.0,Upright,74.0,3682.0,26,60,11,2013,2016,6,7
m/disappearance_at_clifton_hill,Fresh,73.0,44.0,Spilled,44.0,25.0,8,32,12,2020,2020,2,2
m/disappearance_of_alice_creed,Fresh,81.0,98.0,Upright,67.0,27680.0,30,79,19,2010,2016,8,11
m/disappearances,Rotten,52.0,21.0,Spilled,44.0,27280.0,13,11,10,2007,2017,5,3
m/disappearing_acts,Fresh,60.0,5.0,Upright,85.0,4857.0,3,3,2,2000,2017,12,4
m/disaster_movie,Rotten,1.0,74.0,Spilled,21.0,128340.0,19,1,73,2008,2016,8,11
m/disclosure,Rotten,59.0,61.0,Spilled,41.0,31505.0,19,36,25,1994,2008,12,1
m/disco-pigs,Rotten,20.0,5.0,Upright,75.0,5453.0,1,1,4,2003,2017,4,6
m/disco_godfather,Fresh,83.0,6.0,Spilled,50.0,2330.0,0,5,1,1979,2018,8,7
m/disconnect_2013,Fresh,70.0,79.0,Upright,75.0,16227.0,29,55,24,2013,2016,4,5
m/discreet_2018,Fresh,78.0,9.0,Spilled,33.0,51.0,4,7,2,2018,2018,6,6
m/discreet_charm_of_the_bourgeoisie,Fresh,98.0,52.0,Upright,89.0,12846.0,15,51,1,1972,2016,9,10
m/disenchanted,Fresh,100.0,6.0,Spilled,44.0,275.0,0,6,0,1990,2017,1,1
m/disgrace,Fresh,83.0,60.0,Upright,62.0,2106.0,23,50,10,2008,2017,9,1
m/dish,Fresh,96.0,99.0,Upright,81.0,8533.0,29,95,4,2001,2008,3,6
m/disneynature_earth_2009,Fresh,86.0,94.0,Upright,82.0,110102.0,28,81,13,2009,2015,4,12
m/disneynature_oceans,Fresh,81.0,79.0,Upright,75.0,98514.0,26,64,15,2010,2016,4,11
m/disneys_aladdin,Fresh,95.0,75.0,Upright,92.0,939842.0,18,71,4,1992,2016,11,9
m/disorder_2016,Fresh,72.0,79.0,Spilled,52.0,2281.0,19,57,22,2016,2016,8,12
m/disorderly_orderly,Fresh,60.0,5.0,Upright,68.0,2235.0,0,3,2,1964,2014,12,11
m/disorganized_crime,Rotten,50.0,6.0,Spilled,57.0,1922.0,0,3,3,1989,2016,4,8
m/distorted,Rotten,18.0,11.0,Upright,82.0,595.0,1,2,9,2018,2018,6,6
m/district_13_ultimatum,Fresh,74.0,74.0,Spilled,55.0,4988.0,24,55,19,2009,2016,2,8
m/district_9,Fresh,90.0,312.0,Upright,82.0,1178535.0,56,280,32,2009,2016,8,4
m/district_b13,Fresh,80.0,116.0,Upright,78.0,76204.0,34,93,23,2006,2016,6,11
m/disturbia,Fresh,69.0,175.0,Upright,77.0,1452611.0,48,121,54,2007,2016,4,10
m/disturbing_behavior,Rotten,34.0,38.0,Spilled,39.0,45290.0,8,13,25,1998,2016,7,11
m/disturbing_the_universe,Fresh,79.0,28.0,Upright,78.0,263.0,12,22,6,2009,2017,11,5
m/divergent,Rotten,41.0,234.0,Upright,69.0,139868.0,52,96,138,2014,2016,3,4
m/divided_we_fall,Fresh,90.0,62.0,Upright,91.0,2296.0,24,56,6,2001,2013,6,7
m/divine_secrets_of_the_yaya_sisterhood,Rotten,45.0,146.0,Upright,65.0,66472.0,38,65,81,2002,2009,6,10
m/divorce_american_style,Fresh,100.0,7.0,Spilled,56.0,1348.0,1,7,0,1967,2013,1,7
m/divorcee,Fresh,75.0,8.0,Upright,63.0,815.0,0,6,2,1930,2016,4,11
m/dixieland,Rotten,10.0,10.0,Spilled,40.0,194.0,7,1,9,2015,2017,12,3
m/django,Fresh,92.0,13.0,Upright,84.0,8673.0,1,12,1,1966,2017,12,6
m/django_2018,Rotten,58.0,24.0,Upright,79.0,131.0,10,14,10,2018,2018,1,2
m/django_unchained_2012,Fresh,87.0,288.0,Upright,91.0,429231.0,55,250,38,2012,2017,12,3
m/do_i_sound_gay,Fresh,81.0,47.0,Spilled,47.0,2772.0,24,38,9,2015,2017,7,3
m/do_knot_disturb,Rotten,20.0,5.0,Spilled,22.0,261.0,2,1,4,2009,2020,10,8
m/do_the_right_thing,Fresh,93.0,96.0,Upright,90.0,73719.0,22,89,7,1989,2015,6,10
m/do_you_believe,Rotten,25.0,20.0,Upright,83.0,10852.0,6,5,15,2015,2016,3,5
m/doa_dead_or_alive,Rotten,33.0,46.0,Spilled,36.0,472683.0,14,15,31,2007,2016,6,8
m/doc_holliday_1971,Rotten,40.0,10.0,Spilled,47.0,177.0,3,4,6,1971,2017,8,1
m/doc_hollywood,Fresh,68.0,34.0,Spilled,50.0,43912.0,6,23,11,1991,2009,8,9
m/doctor_dolittle,Rotten,29.0,21.0,Spilled,57.0,73397.0,4,6,15,1967,2012,12,9
m/doctor_faustus,Rotten,10.0,10.0,Spilled,30.0,1519.0,3,1,9,1968,2012,2,4
m/doctor_strange_2016,Fresh,89.0,373.0,Upright,86.0,110451.0,56,333,41,2016,2017,11,2
m/dodgeball_a_true_underdog_story,Fresh,71.0,164.0,Upright,76.0,995728.0,38,116,48,2004,2015,6,11
m/dodsworth,Fresh,90.0,20.0,Upright,86.0,1466.0,3,18,2,1936,2020,9,3
m/dog_day_afternoon,Fresh,96.0,45.0,Upright,90.0,110209.0,8,43,2,1975,2008,9,8
m/dog_days_2018,Fresh,63.0,67.0,Upright,76.0,578.0,18,42,25,2018,2018,8,11
m/dog_eat_dog_2016,Rotten,50.0,70.0,Spilled,18.0,716.0,20,35,35,2016,2016,11,12
m/dog_park,Rotten,36.0,25.0,Spilled,28.0,2613.0,6,9,16,1998,2016,6,6
m/dog_pound_2010,Fresh,65.0,26.0,Upright,69.0,1926.0,10,17,9,2010,2016,4,3
m/dog_soldiers,Fresh,79.0,38.0,Upright,79.0,57922.0,4,30,8,2002,2017,7,5
m/doghouse,Rotten,48.0,23.0,Spilled,46.0,4398.0,7,11,12,2009,2017,11,4
m/dogtooth,Fresh,93.0,67.0,Upright,76.0,10322.0,22,62,5,2010,2016,6,8
m/dogtown_and_zboys,Fresh,92.0,98.0,Upright,88.0,13818.0,33,90,8,2001,2012,1,4
m/dogville,Fresh,70.0,168.0,Upright,89.0,55330.0,47,117,51,2003,2016,5,10
m/doin_it_in_the_park_pick_up_basketball_nyc_2012,Fresh,75.0,8.0,Upright,69.0,319.0,4,6,2,2013,2016,5,8
m/dolce_vita,Fresh,96.0,70.0,Upright,90.0,34121.0,22,67,3,1960,2004,1,9
m/dolemite,Rotten,57.0,14.0,Upright,67.0,5848.0,2,8,6,1975,2018,4,7
m/dollars,Fresh,86.0,7.0,Spilled,51.0,410.0,2,6,1,1971,2014,12,5
m/dolores_claiborne,Fresh,84.0,44.0,Upright,81.0,30259.0,11,37,7,1995,2008,3,8
m/dolphin_tale,Fresh,81.0,113.0,Upright,80.0,45371.0,32,92,21,2011,2014,9,2
m/dolphin_tale_2,Fresh,66.0,87.0,Upright,72.0,28066.0,28,57,30,2014,2016,9,4
m/dolphins,Fresh,89.0,9.0,Upright,65.0,1820.0,2,8,1,2000,2016,10,11
m/dom_hemingway,Rotten,56.0,127.0,Spilled,38.0,7535.0,37,71,56,2014,2015,4,11
m/domestic_disturbance,Rotten,24.0,100.0,Spilled,37.0,42593.0,28,24,76,2001,2017,11,1
m/dominion_prequel_to_the_exorcist,Rotten,30.0,46.0,Spilled,25.0,17651.0,15,14,32,2005,2017,5,10
m/domino,Rotten,18.0,158.0,Spilled,56.0,247068.0,36,29,129,2005,2011,10,8
m/domino_2019,Rotten,33.0,70.0,Spilled,18.0,82.0,16,23,47,2019,2019,5,5
m/don_2,Fresh,69.0,13.0,Upright,72.0,4552.0,5,9,4,2011,2018,12,1
m/don_jon,Fresh,79.0,202.0,Spilled,58.0,76506.0,54,160,43,2013,2015,9,1
m/don_mckay,Rotten,38.0,26.0,Spilled,23.0,593.0,9,10,16,2010,2016,4,8
m/don_peyote,Rotten,7.0,14.0,Spilled,29.0,214.0,5,1,13,2014,2017,5,3
m/don_verdean,Rotten,29.0,38.0,Spilled,23.0,1424.0,17,11,27,2015,2016,12,3
m/donkey_punch,Rotten,52.0,52.0,Spilled,24.0,12579.0,16,27,25,2008,2016,1,12
m/donnie_brasco,Fresh,88.0,57.0,Upright,89.0,204164.0,18,50,7,1997,2012,2,4
m/donnie_darko,Fresh,86.0,117.0,Upright,80.0,30984568.0,16,101,16,2001,2017,1,4
m/donnybrook,Rotten,39.0,46.0,Spilled,35.0,90.0,14,18,28,2019,2019,2,2
m/donovans_reef,Rotten,55.0,11.0,Upright,76.0,8581.0,0,6,5,1963,2013,1,8
m/dont_be_a_menace,Rotten,31.0,26.0,Upright,80.0,65817.0,7,8,18,1996,2016,1,5
m/dont_be_afraid_of_the_dark,Fresh,71.0,7.0,Spilled,57.0,901.0,0,5,2,1973,2017,10,5
m/dont_be_afraid_of_the_dark_2011,Fresh,60.0,175.0,Spilled,34.0,40626.0,41,105,70,2011,2013,8,6
m/dont_bother_to_knock,Fresh,100.0,11.0,Upright,76.0,4317.0,0,11,0,1952,2015,7,11
m/dont_breathe_2016,Fresh,88.0,232.0,Upright,78.0,40629.0,39,205,28,2016,2016,8,11
m/dont_call_me_son,Fresh,83.0,18.0,Upright,64.0,128.0,7,15,3,2016,2017,11,7
m/dont_come_back_from_the_moon,Fresh,88.0,17.0,Upright,71.0,480.0,9,15,2,2019,2019,1,1
m/dont_come_knocking,Rotten,43.0,101.0,Upright,60.0,24130.0,34,43,58,2006,2012,3,4
m/dont_go_2018,Rotten,39.0,23.0,Spilled,25.0,43.0,4,9,14,2018,2018,10,10
m/dont_go_in_the_house,Rotten,40.0,5.0,Spilled,33.0,725.0,0,2,3,1980,2017,3,5
m/dont_hang_up_2017,Rotten,25.0,16.0,Spilled,31.0,631.0,2,4,12,2017,2017,2,4
m/dont_kill_it,Fresh,93.0,14.0,Spilled,38.0,350.0,2,13,1,2017,2017,3,3
m/dont_knock_twice,Rotten,24.0,25.0,Spilled,21.0,735.0,4,6,19,2017,2017,2,6
m/dont_leave_home,Fresh,74.0,19.0,Spilled,22.0,252.0,5,14,5,2018,2018,9,9
m/dont_look_now,Fresh,95.0,73.0,Upright,76.0,18808.0,17,69,4,1973,2016,12,8
m/dont_mess_with_texas_2014,Rotten,7.0,173.0,Spilled,35.0,26830.0,44,12,162,2015,2016,5,5
m/dont_say_a_word,Rotten,24.0,114.0,Spilled,49.0,52829.0,33,27,87,2001,2013,9,4
m/dont_sleep_2017,Rotten,9.0,11.0,Spilled,21.0,81.0,3,1,10,2017,2017,9,9
m/dont_stop_believin_everymans_journey,Fresh,64.0,45.0,Upright,72.0,794.0,16,29,16,2013,2016,3,4
m/dont_tell_mom_the_babysitters_dead,Rotten,33.0,30.0,Spilled,56.0,131069.0,9,10,20,1991,2016,6,10
m/dont_think_twice,Fresh,98.0,135.0,Upright,69.0,19250.0,35,132,3,2016,2016,7,11
m/dont_triphe_aint_through_with_me_yet,Rotten,45.0,11.0,Upright,73.0,18927.0,5,5,6,2006,2006,3,5
m/dont_worry_he_wont_get_far_on_foot,Fresh,76.0,187.0,Upright,75.0,1578.0,37,143,44,2018,2018,7,10
m/doom,Rotten,19.0,138.0,Spilled,34.0,333593.0,30,26,112,2005,2014,10,8
m/doom_generation,Rotten,47.0,34.0,Upright,62.0,9350.0,15,16,18,1995,2007,10,8
m/doomsday,Rotten,51.0,73.0,Spilled,44.0,84790.0,13,37,36,2008,2012,3,6
m/doors,Rotten,57.0,61.0,Upright,79.0,60634.0,17,35,26,1991,2016,3,8
m/dopamine,Rotten,52.0,52.0,Spilled,53.0,1164.0,20,27,25,2003,2016,10,11
m/dope_2015,Fresh,89.0,158.0,Upright,83.0,34006.0,42,140,18,2015,2016,9,1
m/dorfman_in_love,Rotten,21.0,14.0,Spilled,51.0,323.0,7,3,11,2013,2016,3,8
m/dorm_daze,Rotten,0.0,7.0,Spilled,26.0,8762.0,1,0,7,2003,2006,9,8
m/dormant_beauty,Fresh,80.0,25.0,Spilled,39.0,307.0,10,20,5,2014,2016,6,4
m/dot_the_i,Rotten,25.0,59.0,Upright,76.0,8341.0,24,15,44,2003,2016,1,5
m/double_dragon,Rotten,13.0,16.0,Spilled,26.0,29956.0,4,2,14,1994,2016,11,4
m/double_impact,Rotten,35.0,20.0,Spilled,42.0,48794.0,4,7,13,1991,2016,8,11
m/double_indemnity,Fresh,97.0,64.0,Upright,95.0,35764.0,13,62,2,1944,2014,9,10
m/double_life_of_veronique,Fresh,82.0,28.0,Upright,92.0,20144.0,6,23,5,1991,2017,5,2
m/double_lover,Fresh,70.0,104.0,Spilled,49.0,474.0,22,73,31,2018,2018,2,6
m/double_team,Rotten,11.0,19.0,Spilled,25.0,41655.0,5,2,17,1997,2012,4,4
m/double_whammy,Rotten,36.0,11.0,Spilled,29.0,1604.0,1,4,7,2002,2016,12,4
m/doubt,Fresh,80.0,217.0,Upright,78.0,162497.0,56,174,43,2008,2015,12,12
m/dougs_1st_movie,Rotten,26.0,34.0,Spilled,28.0,7259.0,11,9,25,1999,2015,3,8
m/dovlatov,Fresh,80.0,15.0,Upright,60.0,67.0,6,12,3,2018,2018,10,10
m/down-terrace,Fresh,86.0,35.0,Upright,61.0,1670.0,14,30,5,2010,2016,10,8
m/down_and_dangerous,Fresh,60.0,5.0,Spilled,26.0,94.0,2,3,2,2014,2016,2,8
m/down_and_derby,Rotten,22.0,27.0,Spilled,51.0,808.0,11,6,21,2005,2017,4,3
m/down_and_out_in_beverly_hills,Fresh,79.0,28.0,Spilled,52.0,15952.0,7,22,6,1986,2016,1,3
m/down_by_law,Fresh,87.0,30.0,Upright,94.0,22361.0,9,26,4,1986,2017,10,3
m/down_in_the_delta,Fresh,79.0,24.0,Upright,70.0,1433.0,8,19,5,1998,2016,12,11
m/down_in_the_valley,Rotten,52.0,101.0,Spilled,53.0,39354.0,36,53,48,2006,2019,5,10
m/down_periscope,Rotten,12.0,34.0,Upright,62.0,40163.0,9,4,30,1996,2015,3,11
m/down_the_shore,Rotten,45.0,11.0,Spilled,36.0,319.0,7,5,6,2013,2017,4,3
m/down_to_the_bone,Fresh,94.0,33.0,Upright,71.0,26473.0,13,31,2,2005,2006,11,10
m/down_to_you,Rotten,3.0,59.0,Spilled,49.0,51511.0,17,2,57,2000,2016,1,10
m/down_with_love,Fresh,60.0,179.0,Upright,62.0,75014.0,41,107,72,2003,2015,5,11
m/downfall,Fresh,90.0,140.0,Upright,94.0,70448.0,35,126,14,2004,2017,12,4
m/downhill_racer,Fresh,85.0,27.0,Spilled,59.0,1043.0,8,23,4,1969,2015,11,9
m/downsizing,Rotten,46.0,299.0,Spilled,23.0,9796.0,52,139,160,2017,2018,12,2
m/downtown_81,Fresh,79.0,29.0,Upright,73.0,1857.0,11,23,6,2001,2016,7,8
m/dr_cyclops,Fresh,77.0,13.0,Spilled,56.0,316.0,3,10,3,1940,2016,4,11
m/dr_dolittle,Rotten,42.0,52.0,Spilled,35.0,873786.0,10,22,30,1998,2015,6,11
m/dr_dolittle_2,Rotten,42.0,107.0,Spilled,26.0,436876.0,33,45,62,2001,2015,6,11
m/dr_feelgood_dealer_or_healer,Fresh,83.0,6.0,Spilled,48.0,236.0,3,5,1,2016,2017,12,1
m/dr_giggles,Rotten,17.0,29.0,Spilled,41.0,10066.0,7,5,24,1992,2013,10,12
m/dr_goldfoot_and_the_bikini_machine,Rotten,29.0,7.0,Spilled,43.0,1868.0,0,2,5,1965,2017,1,2
m/dr_jekyll_and_sister_hyde,Fresh,80.0,5.0,Upright,63.0,1139.0,0,4,1,1971,2019,1,12
m/dr_mabuse_the_gambler,Fresh,94.0,16.0,Upright,87.0,2287.0,3,15,1,1922,2001,1,9
m/dr_no,Fresh,95.0,60.0,Upright,82.0,111573.0,6,57,3,1962,2016,10,10
m/dr_phibes_rises_again,Rotten,59.0,17.0,Spilled,57.0,6195.0,3,10,7,1972,2017,6,1
m/dr_strangelove,Fresh,98.0,91.0,Upright,94.0,209482.0,14,89,2,1964,2012,1,4
m/dr_t_and_the_women,Rotten,57.0,109.0,Spilled,20.0,15181.0,34,62,47,2000,2015,10,4
m/dr_who_and_the_daleks,Rotten,42.0,19.0,Spilled,41.0,2089.0,3,8,11,1965,2016,8,11
m/dracula_2000,Rotten,17.0,69.0,Spilled,39.0,69959.0,21,12,57,2000,2016,12,4
m/dracula_dead_and_loving_it,Rotten,11.0,36.0,Spilled,49.0,63486.0,11,4,32,1995,2008,12,10
m/dracula_has_risen_from_the_grave,Fresh,80.0,15.0,Upright,60.0,4307.0,1,12,3,1969,2012,2,6
m/dracula_ii_ascension,Rotten,0.0,7.0,Spilled,30.0,7444.0,0,0,7,2003,2016,6,10
m/dracula_untold,Rotten,24.0,135.0,Spilled,58.0,49595.0,28,32,103,2014,2016,10,8
m/draculas_daughter,Rotten,55.0,20.0,Spilled,41.0,2976.0,3,11,9,1936,2017,1,5
m/draft_day,Rotten,59.0,158.0,Upright,65.0,35121.0,41,94,64,2014,2016,4,2
m/drag_me_to_hell,Fresh,92.0,268.0,Upright,62.0,847212.0,56,247,21,2009,2014,5,2
m/dragged_across_concrete,Fresh,76.0,144.0,Upright,68.0,697.0,28,109,35,2019,2019,3,3
m/dragon_ball_super_broly,Fresh,82.0,56.0,Upright,92.0,3415.0,3,46,10,2019,2019,1,4
m/dragon_ball_z_battle_of_gods,Fresh,88.0,8.0,Upright,80.0,5296.0,2,7,1,2014,2016,8,8
m/dragon_ball_z_resurrection_f,Fresh,83.0,18.0,Upright,84.0,9586.0,3,15,3,2015,2016,8,8
m/dragon_blade,Rotten,36.0,47.0,Spilled,39.0,3137.0,16,17,30,2015,2015,9,12
m/dragon_the_bruce_lee_story,Fresh,71.0,21.0,Upright,79.0,57787.0,5,15,6,1993,2016,5,4
m/dragon_wars,Rotten,30.0,37.0,Spilled,19.0,175534.0,7,11,26,2007,2012,9,4
m/dragonball,Rotten,15.0,61.0,Spilled,20.0,210211.0,14,9,52,2009,2015,4,12
m/dragonheart,Rotten,50.0,30.0,Upright,60.0,326626.0,5,15,15,1996,2016,5,5
m/dragonslayer,Fresh,84.0,32.0,Upright,62.0,24451.0,6,27,5,1981,2014,6,6
m/dreadnaught,Fresh,60.0,5.0,Upright,85.0,1494.0,1,3,2,1981,2016,1,12
m/dream_a_little_dream,Rotten,0.0,10.0,Upright,67.0,9444.0,3,0,10,1989,2016,3,11
m/dream_for_an_insomniac,Rotten,50.0,12.0,Upright,75.0,5438.0,3,6,6,1996,2006,4,10
m/dream_home_2010,Fresh,76.0,21.0,Upright,60.0,1018.0,2,16,5,2010,2016,11,5
m/dream_house_2011,Rotten,6.0,87.0,Spilled,36.0,29717.0,18,5,82,2011,2014,9,2
m/dreamcatcher,Rotten,28.0,183.0,Spilled,35.0,132367.0,41,52,131,2003,2010,3,6
m/dreamer,Fresh,64.0,117.0,Upright,78.0,90727.0,32,75,42,2005,2016,10,12
m/dreamgirls,Fresh,78.0,208.0,Upright,71.0,388122.0,54,163,45,2006,2014,12,6
m/dreaming_of_joseph_lees,Rotten,36.0,14.0,Spilled,54.0,135.0,5,5,9,1999,2015,10,11
m/dreams_of_a_life,Fresh,77.0,30.0,Upright,65.0,2548.0,13,23,7,2012,2016,8,3
m/dreams_rewired,Fresh,75.0,16.0,Spilled,45.0,118.0,7,12,4,2015,2016,12,10
m/dreamscape,Fresh,77.0,31.0,Spilled,46.0,8545.0,4,24,7,1984,2016,8,10
m/dredd,Fresh,79.0,164.0,Upright,72.0,153718.0,34,130,34,2012,2014,9,9
m/dresser,Fresh,100.0,14.0,Upright,87.0,1802.0,1,14,0,1983,2015,12,1
m/drew_the_man_behind_the_poster,Rotten,50.0,10.0,Upright,71.0,353.0,6,5,5,2013,2017,8,3
m/drift_2013,Rotten,32.0,19.0,Spilled,56.0,1786.0,8,6,13,2013,2014,8,5
m/drifter_2017,Rotten,42.0,12.0,Spilled,12.0,87.0,2,5,7,2017,2017,2,3
m/drillbit_taylor,Rotten,25.0,146.0,Spilled,44.0,98003.0,37,37,109,2008,2013,3,8
m/drinking_buddies_2013,Fresh,83.0,121.0,Spilled,49.0,23840.0,34,101,20,2013,2016,8,12
m/drive-angry,Rotten,47.0,123.0,Spilled,37.0,40294.0,29,58,65,2011,2015,2,10
m/drive_2011,Fresh,92.0,265.0,Upright,79.0,118817.0,55,245,20,2011,2013,9,5
m/drive_hard,Rotten,8.0,25.0,Spilled,12.0,418.0,10,2,24,2014,2017,10,1
m/drive_he_said,Fresh,62.0,13.0,Spilled,23.0,238.0,5,8,5,1971,2017,6,2
