rotten_tomatoes_link,movie_title,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,release_year,streaming_release_year
m/1009972-hot_pursuit,Hot Pursuit,Rotten,0.0,5.0,Spilled,43.0,3888.0,0,0,5,1987,2016
m/100_bloody_acres_2013,100 Bloody Acres,Fresh,79.0,38.0,Spilled,47.0,1642.0,13,30,8,2013,2016
m/100_girls,100 Girls,Fresh,60.0,5.0,Spilled,50.0,39832.0,0,3,2,2000,2016
m/100_streets,100 Streets,Rotten,41.0,39.0,Spilled,36.0,1547.0,10,16,23,2017,2017
m/1010002-hound_of_the_baskervilles,The Hound of the Baskervilles,Fresh,91.0,11.0,Upright,83.0,6267.0,0,10,1,1939,2017
m/1010004-hound_of_the_baskervilles,The Hound of the Baskervilles,Fresh,94.0,18.0,Upright,72.0,4426.0,1,17,1,1959,2017
m/1010012-house,"House (Ding Dong, You're Dead)",Rotten,57.0,14.0,Spilled,46.0,12925.0,1,8,6,1986,2015
m/1010030-house_of_wax,House of Wax,Fresh,95.0,42.0,Upright,72.0,41371.0,6,40,2,1953,2016
m/1010034-house_on_haunted_hill,House On Haunted Hill,Fresh,88.0,26.0,Upright,73.0,22826.0,4,23,3,1959,2008
m/1010174-hud,Hud,Fresh,82.0,28.0,Upright,89.0,8429.0,4,23,5,1963,2016
m/1010202-human_factor,The Human Factor,Rotten,33.0,6.0,Spilled,23.0,103.0,1,2,4,1979,2012
m/1010214-hunchback_of_notre_dame,The Hunchback of Notre Dame,Fresh,92.0,24.0,Upright,76.0,2958.0,3,22,2,1923,2015
m/1010230-hunter,The Hunter,Rotten,50.0,12.0,Spilled,49.0,3325.0,2,6,6,1980,2016
m/1010249-hustle,Hustle,Fresh,63.0,8.0,Spilled,48.0,1297.0,1,5,3,1975,2016
m/1010263-i_the_jury,"I, the Jury",Rotten,40.0,10.0,Spilled,39.0,358.0,5,4,6,1982,2015
m/1010417-imitation_of_life,Imitation of Life,Fresh,81.0,27.0,Upright,91.0,9590.0,9,22,5,1959,2014
m/1010440-impulse,Impulse,Rotten,25.0,8.0,Spilled,21.0,77.0,2,2,6,1990,2014
m/1010448-in_cold_blood,In Cold Blood,Fresh,84.0,38.0,Upright,88.0,8635.0,10,32,6,1967,2012
m/1010526-incubus,The Incubus,Rotten,29.0,7.0,Spilled,22.0,1278.0,0,2,5,1982,2016
m/1010540-indiscreet,Indiscreet,Fresh,100.0,20.0,Upright,69.0,5977.0,6,20,0,1958,2015
m/1010553-informer,The Informer,Fresh,94.0,16.0,Upright,77.0,1081.0,0,15,1,1935,2015
m/1010555-inherit_the_wind,Inherit the Wind,Fresh,92.0,26.0,Upright,91.0,9642.0,2,24,2,1960,2016
m/1010644-intolerance,Intolerance,Fresh,97.0,37.0,Upright,77.0,4908.0,7,36,1,1916,2016
m/1010672-invaders_from_mars,Invaders from Mars,Fresh,82.0,11.0,Spilled,56.0,2765.0,0,9,2,1953,2017
m/1010673-invaders_from_mars,Invaders From Mars,Rotten,33.0,15.0,Spilled,33.0,3514.0,0,5,10,1986,2017
m/1010678-invasion_of_the_body_snatchers,Invasion of the Body Snatchers,Fresh,98.0,57.0,Upright,85.0,19182.0,10,56,1,1956,2016
m/1010679-invasion_of_the_body_snatchers,Invasion of the Body Snatchers,Fresh,93.0,58.0,Upright,81.0,35411.0,9,54,4,1978,2017
m/1010695-invisible_man,The Invisible Man,Fresh,94.0,51.0,Upright,85.0,11170.0,9,48,3,1933,2016
m/1010745-island,The Island,Rotten,40.0,5.0,Spilled,51.0,7403.0,0,2,3,1980,2016
m/1010752-island_of_dr_moreau,The Island of Dr. Moreau,Rotten,56.0,25.0,Spilled,40.0,2513.0,3,14,11,1977,2016
m/1010762-islands_in_the_stream,Islands in the Stream,Fresh,88.0,8.0,Upright,63.0,127.0,1,7,1,1977,2016
m/1010770-it,It,Fresh,87.0,15.0,Upright,81.0,4773.0,2,13,2,1927,2017
m/1010793-its_alive,It's Alive,Fresh,74.0,23.0,Spilled,40.0,6171.0,0,17,6,1973,2016
